Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
TALON,53.333333333333336,1511.6454151783792,1462.0366204070108,0.0,1.0448055426055427,127.28951048951049,194.26138824138826,3.401181041181041,0.10215809375809376,0.9758722092722093,70.78954156954157,34.115793650793655,/static/logos/talon-logo.png,Pacific,63
TYLOO,60.0,1527.149762519172,1500.0,50.0,1.1206257003644644,134.98990877734346,206.99492627850185,3.3859980297480297,0.7656531093398471,1.0323678330597974,71.70677507016792,15.0,/static/logos/tyloo-logo.png,CN,64
Team Heretics,53.333333333333336,1572.7856550095453,1521.700186092418,40.59405940594059,1.1107639493005788,126.23998686498686,193.93250615125618,3.2659795297295293,1.3832366753616754,1.0225828227328226,75.08052620456466,30.80308302808303,/static/logos/team-heretics-logo.png,EMEA,65
Team Liquid,66.66666666666666,1612.4683448944788,1456.3991353157458,38.31775700934579,1.0600666663475091,129.10430991666286,195.139707185516,3.3724046188016774,0.3981461713395537,0.9924261793489735,72.39096510787687,30.75095719095719,/static/logos/team-liquid-logo.png,EMEA,66
Team Secret,33.33333333333333,1424.7919723296905,1503.4468002875042,51.76470588235295,0.875325360778211,120.45607946827256,181.31492649258954,2.726986887674228,0.5186551308488329,0.8940720605824506,68.64139418552462,35.30752506752506,/static/logos/team-secret-logo.png,Pacific,67
Team Vikings,33.33333333333333,1473.5327670608726,1473.5327670608726,20.5607476635514,0.94524064171123,127.19354828178358,195.3486284956873,2.791992321404086,0.10875841478782655,0.9391775218245807,67.51269645387292,13.70860920125626,/static/logos/team-vikings-logo.png,AMER,68
Team Vitality,66.66666666666666,1602.9698314252762,1542.6575019986421,60.57692307692308,1.2035781719404253,135.46034559394855,205.3345601756631,3.12374718146777,1.9111810381339793,1.0623645055380349,73.6475193107546,44.425396825396824,/static/logos/team-vitality-logo.png,EMEA,69
The Guard,0.0,1469.005103869905,1469.005103869905,0.0,0.8620054945054946,119.42032967032966,182.30219780219778,2.835164835164835,0.11137362637362638,0.8905494505494507,67.96153846153845,5.807692307692308,/static/logos/the-guard-logo.png,AMER,70
Titan Esports Club,33.33333333333333,1408.7012770251927,1500.0,50.0,1.0235421239560936,127.40249029533264,194.5611191981966,3.0242612381884824,0.5684365442820611,0.9738662886840608,69.47419448211133,15.0,/static/logos/titan-esports-club-logo.png,CN,71
Trace Esports,40.0,1449.6636571896909,1460.7939589192893,17.75700934579439,0.929702421170181,126.48920141572856,190.06731444481446,3.17187299356417,0.6374425542092398,0.9245437420171583,67.7925587986674,45.916666666666664,/static/logos/trace-esports-logo.png,CN,72
ULF Esports,25.0,1474.7591355495697,1500.0,50.0,0.872875,117.58405448717949,182.7605769230769,2.456570512820513,0.1181602564102564,0.8392307692307692,66.44326923076923,43.51322751322751,/static/logos/ulf-esports-logo.png,EMEA,73
VARREL,58.333333333333336,1538.335165935158,1500.0,50.0,0.9350401075346403,123.64155629399195,187.9416489913273,3.632768115258924,1.0244864449786324,0.919322087889643,66.44158418174962,26.765277777777776,/static/logos/varrel-logo.png,Pacific,74
